The results are ordered in the same order as in c_rc_df (according to protein name),,,,,,,,
pos_1_res4_nt,pos_2_res4_nt,pos_3_res4_nt,pos_1_res7_nt,pos_2_res7_nt,pos_3_res7_nt,pos_1_res12_nt,pos_2_res12_nt,pos_3_res12_nt
0.923979425,-0.005051723,0.688820121,0.912856635,-0.644411171,0.810052878,0.931643373,-0.350903057,0.580167549
0.976874323,0.983438233,0.997532872,0.969086075,0.940447606,0.993886738,0.981595265,0.785110963,0.998513658
0.084011702,-0.884256657,0.641843616,-0.109823786,-0.979366425,0.636362838,0.180709869,-0.713602985,0.665718467
0.741551753,0.999058923,0.999938224,0.576019771,0.810106769,0.98998975,0.220990802,0.637973765,0.99992177
0.719873619,0.864983818,0.685109743,0.655231964,0.991451984,0.536329114,0.717103758,0.862784682,0.678493797
0.309036282,0.802995425,-0.3269992,0.334749756,0.832610124,-0.179083838,0.58816245,0.43216792,-0.163525062
0.49904825,-0.23538328,0.998728045,-0.296465892,0.493367085,0.998270893,-0.521497853,0.875338592,0.996845301
0.778623121,0.950813813,0.360912,0.74114036,0.812413011,0.390140746,0.859104495,0.835763894,0.321596703
0.998576102,0.983469148,0.998584158,0.999799648,0.987859306,0.999182636,0.999670838,0.817526392,0.998413856
0.907198429,0.997246899,0.999126324,0.859491311,0.985096692,0.961885401,0.897068659,0.87099612,0.99515028
-0.608511978,0.393489937,-0.067859664,-0.729503774,-0.139647871,0.535799255,-0.786281539,-0.208275533,0.068420416
0.996208902,0.97721492,0.998710502,0.996859093,0.984887292,0.999271636,0.996287303,0.854991325,0.998523518
0.299208896,0.992819675,0.041055972,0.148966878,0.994322308,0.159999287,0.605129702,0.978163826,-0.196309035
-0.795917907,-0.002297554,0.982659997,-0.727570992,-0.573570933,0.977869851,-0.593513135,-0.436502991,0.988909143
0.711418961,0.896939648,0.998989283,0.528531477,0.825184417,0.99633423,0.023255604,0.431086599,0.989739932
0.154452496,-0.13960958,-0.131244788,0.278660178,-0.081528707,0.194885244,0.233500816,0.434303718,-0.300757225
0.999895864,0.00698583,0.959261511,0.998801898,0.015974319,0.9509707,0.998265968,-0.103531488,0.794531885
0.524553434,-0.242676199,-0.490398989,0.102823386,-0.023104971,-0.695176158,0.294960359,-0.149389087,-0.385826305
0.509568737,0.994436597,-0.044962641,0.661625933,0.981050198,0.032843684,0.267232701,0.947282501,0.415206514
0.99971574,0.962670376,0.98814262,0.995881641,0.967608943,0.997354474,0.999597069,0.843820036,0.995731116
0.655558216,0.976699427,0.996879339,0.144671756,0.963283623,0.999473549,0.839962586,0.979449567,0.999133109
0.724114754,0.980301831,-0.284913289,0.975806587,0.929038095,-0.896148991,0.991484115,0.941967832,-0.786434657
0.707633798,0.989059175,0.991464059,0.420252667,0.968285782,0.998126539,0.814157879,0.996209191,0.994389453
0.700372323,0.994998941,0.980956695,0.739694295,0.962345698,0.99589609,0.385298363,0.967027794,0.997331696
0.600240526,0.597361485,0.978093134,0.385639517,0.515616329,0.991118651,0.167812562,0.591024559,0.998421926
0.718936645,0.90839136,0.967018296,0.628051343,0.682208672,0.997311948,0.426419445,0.913520011,0.998186532
0.590189508,0.892430706,0.931422301,0.422594206,0.953145386,0.94294244,0.717543552,0.866985366,0.921380857
0.733382275,0.052753823,0.995388916,0.530879799,-0.516880495,0.963474689,0.297994189,0.109722554,0.98756796
-0.397510109,0.957927422,0.798633115,-0.384964097,0.862796377,0.940044918,-0.383087709,0.93057599,0.596176801
