The results are ordered in the same order as in c_rc_df (according to protein name),,,,,,,,
pos_1_res4_ret,pos_2_res4_ret,pos_3_res4_ret,pos_1_res7_ret,pos_2_res7_ret,pos_3_res7_ret,pos_1_res12_ret,pos_2_res12_ret,pos_3_res12_ret
0.926636295,-0.11655423,0.559549214,0.919574745,-0.161744619,0.107955367,0.919721135,-0.260661587,0.683852063
0.97915342,0.85992653,0.982871301,0.972519529,0.982785366,0.988239673,0.974159243,0.939804185,0.988806573
0.342564453,-0.767908948,0.704041283,0.412482283,-0.457791075,0.698230042,0.192613006,-0.932551333,0.697811589
0.50257062,0.998227213,0.995376583,0.945012666,0.997212006,0.999016765,0.825479,0.999426109,0.996466515
0.686809156,0.852744753,0.842598138,0.509373641,0.832857176,0.930276192,0.660252904,0.871511029,0.81598661
0.218281942,0.802005417,-0.288028196,0.382719905,0.785618958,-0.239508463,-0.012441616,0.878327959,-0.081407698
0.84184901,0.975513568,0.994224144,0.170404782,0.990166495,0.997014283,-0.458376468,0.9133999,0.998424386
0.85593523,0.610189129,0.324928094,0.777467573,0.654797039,0.363727401,0.735439316,0.400634629,0.334846117
0.999285006,0.995777807,0.999623506,0.999802124,0.991993094,0.999941962,0.999504002,0.992313642,0.999901337
0.96453722,0.925889718,0.106530096,0.962151807,0.994981912,0.807516437,0.537974168,0.958820628,0.951517956
-0.757198214,0.324549802,0.257232843,-0.816605606,-0.369882618,0.358327403,-0.832510054,-0.282772385,0.063669481
0.993200807,0.992282915,0.999657524,0.995638858,0.987457725,0.999980418,0.995028544,0.9875752,0.999956117
0.082124774,0.970859165,0.119096666,0.429426129,0.91961973,-0.155299508,0.484534666,0.902349387,-0.27780028
-0.961543004,-0.557725541,0.979218311,-0.497329844,-0.47047786,0.983196726,-0.217711402,-0.430092201,0.995966726
0.68042684,0.790784176,0.999764478,0.63399822,0.854006936,0.998804317,0.152576398,0.840956703,0.994618046
0.475736158,-0.231865843,0.722799638,0.336577572,0.843408263,0.714401406,0.338469384,0.986351782,-0.066061636
0.999967303,0.799990998,0.961172808,0.999029333,-0.020635294,0.807501888,0.999304901,-0.032957863,0.463716978
0.135241767,0.178639936,-0.567905545,0.601233912,-0.16042755,-0.118109324,0.210349037,0.595860516,-0.675319496
0.756456111,0.979834229,0.125654179,0.586144081,0.988431977,0.745676684,0.960861724,0.98586311,0.435664758
0.996224105,0.990580124,0.999611678,0.999113901,0.999291045,0.999917201,0.999658625,0.998675309,0.999915013
0.8511135,0.994062394,0.99990399,0.785483054,0.992976235,0.99990677,0.908591907,0.981842922,0.999867487
0.942222713,0.953339199,-0.657893036,0.987200217,0.874626622,-0.376600444,0.956968319,0.91428988,-0.822036155
0.975101788,0.998430011,0.992205229,0.962857104,0.996401482,0.991768163,0.987893158,0.997575889,0.993543087
0.878084187,0.985397414,0.999940873,0.74784479,0.995112784,0.999892726,0.981862436,0.999503205,0.999226381
